Type;FSQ;
Version;4.75;
Date;08.Jan 18;
Mode;ANALYZER;
Center Freq;6489000000.000000;Hz
Freq Offset;0.000000;Hz
Span;10000000.000000;Hz
x-Axis;LIN;
Start;6484000000.000000;Hz
Stop;6494000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;25.000000;dB
El Att;0.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.030000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
6484576923.0769234;-65.853630065917969;-73.582359313964844
6484592948.7179489;-64.217750549316406;-72.376441955566406
6484608974.3589745;-68.219680786132812;-99.317298889160156
6484625000;-68.588111877441406;-85.544715881347656
6484641025.6410255;-74.738433837890625;-74.738433837890625
6484657051.2820511;-65.189308166503906;-87.448104858398438
6484673076.9230766;-66.401924133300781;-79.506690979003906
6484689102.5641022;-70.040023803710938;-90.926612854003906
6484705128.2051287;-61.696548461914062;-71.607276916503906
6484721153.8461542;-64.217750549316406;-72.338233947753906
6484737179.4871798;-67.01605224609375;-91.057228088378906
6484753205.1282053;-67.957870483398438;-92.104988098144531
6484769230.7692308;-65.970077514648437;-81.941879272460938
6484785256.4102564;-66.946083068847656;-88.460304260253906
6484801282.0512819;-69.391738891601562;-78.051666259765625
6484817307.6923075;-67.623580932617188;-72.921714782714844
6484833333.333333;-64.786911010742188;-77.358688354492188
6484849358.9743586;-62.147029876708984;-72.119850158691406
6484865384.6153851;-66.775611877441406;-75.615684509277344
6484881410.2564106;-69.512069702148438;-83.151229858398438
6484897435.8974361;-69.662071228027344;-74.931571960449219
6484913461.5384617;-64.764564514160156;-84.713691711425781
6484929487.1794872;-69.523094177246094;-83.557815551757812
6484945512.8205128;-65.099365234375;-85.685386657714844
6484961538.4615383;-69.087501525878906;-78.885406494140625
6484977564.1025639;-70.283378601074219;-75.944351196289062
6484993589.7435894;-66.580856323242188;-73.644180297851562
6485009615.3846149;-64.742271423339844;-92.881027221679688
6485025641.0256414;-68.300750732421875;-84.494575500488281
6485041666.666667;-66.421195983886719;-81.514801025390625
6485057692.3076925;-68.748039245605469;-86.819938659667969
6485073717.9487181;-66.151458740234375;-82.762825012207031
6485089743.5897436;-64.516242980957031;-74.96246337890625
6485105769.2307692;-66.409629821777344;-74.809089660644531
6485121794.8717947;-65.828361511230469;-77.733673095703125
6485137820.5128202;-69.797615051269531;-74.96246337890625
6485153846.1538458;-64.298973083496094;-80.213546752929688
6485169871.7948713;-63.923385620117188;-87.848037719726563
6485185897.4358978;-65.860862731933594;-83.897377014160156
6485201923.0769234;-66.177688598632812;-82.128181457519531
6485217948.7179489;-74.089714050292969;-92.104988098144531
6485233974.3589745;-70.140106201171875;-82.967811584472656
6485250000;-67.314506530761719;-82.712326049804688
6485266025.6410255;-63.124786376953125;-80.213546752929688
6485282051.2820511;-66.271995544433594;-78.724853515625
6485298076.9230766;-63.624675750732422;-83.984382629394531
6485314102.5641022;-64.615974426269531;-102.83912658691406
6485330128.2051287;-67.099090576171875;-77.804931640625
6485346153.8461542;-66.494819641113281;-75.560256958007813
6485362179.4871798;-65.678298950195313;-76.742225646972656
6485378205.1282053;-67.921104431152344;-90.734291076660156
6485394230.7692308;-67.01605224609375;-74.738433837890625
6485410256.4102564;-69.050857543945313;-80.119644165039063
6485426282.0512819;-65.635894775390625;-85.685386657714844
6485442307.6923075;-65.685386657714844;-74.471153259277344
6485458333.333333;-64.286888122558594;-80.678977966308594
6485474358.9743586;-67.99017333984375;-83.019821166992188
6485490384.6153851;-64.857528686523438;-81.405815124511719
6485506410.2564106;-65.835578918457031;-78.125587463378906
6485522435.8974361;-63.816947937011719;-85.036628723144531
6485538461.5384617;-67.028457641601562;-91.885078430175781
6485554487.1794872;-68.210197448730469;-90.926612854003906
6485570512.8205128;-68.455429077148437;-75.213638305664062
6485586538.4615383;-70.570999145507813;-99.664787292480469
6485602564.1025639;-64.181892395019531;-75.637954711914063
6485618589.7435894;-63.943668365478516;-63.943668365478516
6485634615.3846149;-68.783424377441406;-88.219680786132813
6485650641.0256414;-69.166534423828125;-78.567207336425781
6485666666.666667;-63.40106201171875;-79.249443054199219
6485682692.3076925;-66.795730590820313;-90.30145263671875
6485698717.9487181;-67.443763732910156;-77.264053344726563
6485714743.5897436;-68.257736206054687;-68.257736206054687
6485730769.2307692;-66.987174987792969;-89.440765380859375
6485746794.8717947;-63.40106201171875;-74.29742431640625
6485762820.5128202;-67.802680969238281;-78.351211547851563
6485778846.1538458;-68.50433349609375;-85.270042419433594
6485794871.7948713;-67.170303344726563;-67.170303344726563
6485810897.4358978;-66.573005676269531;-74.29742431640625
6485826923.0769234;-63.014606475830078;-75.213638305664062
6485842948.7179489;-65.212776184082031;-74.393508911132813
6485858974.3589745;-65.81036376953125;-76.060630798339844
6485875000;-66.10296630859375;-83.098426818847656
6485891025.6410255;-68.82403564453125;-93.468704223632812
6485907051.2820511;-65.828361511230469;-73.760177612304688
6485923076.9230766;-64.594062805175781;-85.864479064941406
6485939102.5641022;-67.967086791992188;-94.579048156738281
6485955128.2051287;-64.390113830566406;-71.621307373046875
