Type;FSQ;
Version;4.75;
Date;08.Jan 18;
Mode;ANALYZER;
Center Freq;3993600000.000000;Hz
Freq Offset;0.000000;Hz
Span;10000000.000000;Hz
x-Axis;LIN;
Start;3988600000.000000;Hz
Stop;3998600000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;25.000000;dB
El Att;0.000000;dB
RBW;30000.000000;Hz
VBW;100000.000000;Hz
SWT;0.030000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
3989176923.0769229;-69.701385498046875;-79.082077026367188
3989192948.7179489;-72.664573669433594;-72.664573669433594
3989208974.3589745;-70.404609680175781;-87.024322509765625
3989225000;-72.570075988769531;-90.004981994628906
3989241025.6410255;-74.520027160644531;-88.219680786132813
3989257051.2820511;-72.157112121582031;-90.734291076660156
3989273076.9230771;-70.010810852050781;-85.270042419433594
3989289102.5641026;-69.310630798339844;-75.727615356445313
3989305128.2051282;-68.036521911621094;-77.663002014160156
3989321153.8461537;-72.680419921875;-88.219680786132813
3989337179.4871793;-76.322052001953125;-86.158943176269531
3989353205.1282053;-69.837547302246094;-80.63922119140625
3989369230.7692308;-71.057228088378906;-91.885078430175781
3989385256.4102564;-69.797615051269531;-102.83912658691406
3989401282.0512819;-71.156494140625;-84.402336120605469
3989417307.6923075;-69.740882873535156;-75.829605102539062
3989433333.3333335;-71.677665710449219;-102.3426513671875
3989449358.974359;-70.447441101074219;-80.839828491210937
3989465384.6153846;-70.271347045898437;-76.443534851074219
3989481410.2564101;-69.203666687011719;-89.171829223632812
3989497435.8974357;-69.606216430664062;-82.712326049804688
3989513461.5384617;-69.550712585449219;-95.967483520507813
3989529487.1794872;-67.744064331054688;-79.9898681640625
3989545512.8205128;-74.708320617675781;-79.898338317871094
3989561538.4615383;-72.881027221679688;-80.34674072265625
3989577564.1025643;-76.468040466308594;-85.440696716308594
3989593589.7435899;-70.2293701171875;-92.484344482421875
3989609615.3846154;-69.129562377929688;-80.738945007324219
3989625641.025641;-69.468116760253906;-83.557815551757812
3989641666.6666665;-68.210197448730469;-90.422935485839844
3989657692.3076925;-66.787673950195313;-100.59965515136719
3989673717.9487181;-66.807823181152344;-83.231040954589844
3989689743.5897436;-69.826118469238281;-111.88507843017578
3989705769.2307692;-73.144760131835938;-88.078445434570313
3989721794.8717947;-69.294502258300781;-81.782081604003906
3989737820.5128207;-67.378890991210938;-80.94189453125
3989753846.1538463;-72.285011291503906;-85.544715881347656
3989769871.7948718;-65.572669982910156;-76.591598510742187
3989785897.4358974;-69.534133911132812;-105.86447906494141
3989801923.0769229;-70.092864990234375;-77.905677795410156
3989817948.7179489;-68.004051208496094;-77.358688354492188
3989833974.3589745;-68.267280578613281;-94.383857727050781
3989850000;-69.757858276367188;-77.733673095703125
3989866025.6410255;-71.136550903320313;-76.780288696289063
3989882051.2820511;-69.941093444824219;-82.011276245117188
3989898076.9230771;-72.009010314941406;-93.468704223632812
3989914102.5641026;-71.103408813476562;-79.3343505859375
3989930128.2051282;-72.361137390136719;-89.889167785644531
3989946153.8461537;-70.211448669433594;-86.819938659667969
3989962179.4871793;-70.199516296386719;-84.494575500488281
3989978205.1282053;-70.959083557128906;-85.685386657714844
3989994230.7692308;-71.899566650390625;-102.3426513671875
3990010256.4102564;-69.413490295410156;-82.762825012207031
3990026282.0512819;-69.894920349121094;-83.557815551757812
3990042307.6923075;-65.530776977539063;-78.536018371582031
3990058333.3333335;-65.145881652832031;-83.365707397460938
3990074358.974359;-69.740882873535156;-91.741508483886719
3990090384.6153846;-72.453376770019531;-89.066543579101563
3990106410.2564101;-72.060562133789063;-96.818527221679688
3990122435.8974357;-75.108100891113281;-92.640853881835938
3990138461.5384617;-68.406791687011719;-105.86447906494141
3990154487.1794872;-70.690025329589844;-88.078445434570313
3990170512.8205128;-71.183158874511719;-100.59965515136719
3990186538.4615383;-70.645980834960938;-70.645980834960938
3990202564.1025643;-70.881355285644531;-80.34674072265625
3990218589.7435899;-69.429840087890625;-83.420166015625
3990234615.3846154;-70.804313659667969;-86.047348022460938
3990250641.025641;-69.523094177246094;-77.634895324707031
3990266666.6666665;-68.421356201171875;-79.629402160644531
3990282692.3076925;-71.351692199707031;-71.351692199707031
3990298717.9487181;-70.478164672851562;-79.753868103027344
3990314743.5897436;-67.007789611816406;-81.449249267578125
3990330769.2307692;-67.820793151855469;-75.288284301757813
3990346794.8717947;-70.978622436523438;-76.443534851074219
3990362820.5128207;-68.563385009765625;-82.58734130859375
3990378846.1538463;-72.157112121582031;-78.489448547363281
3990394871.7948718;-72.664573669433594;-100.21354675292969
3990410897.4358974;-70.022483825683594;-80.540634155273438
3990426923.0769229;-71.433761596679688;-99.317298889160156
3990442948.7179489;-67.583793640136719;-76.504920959472656
3990458974.3589745;-68.267280578613281;-83.019821166992188
3990475000;-68.798629760742188;-90.422935485839844
3990491025.6410255;-72.58575439453125;-84.809318542480469
3990507051.2820511;-71.994338989257813;-83.613494873046875
3990523076.9230771;-67.409103393554688;-74.859916687011719
3990539102.5641026;-70.772415161132813;-92.640853881835938
3990555128.2051282;-76.238014221191406;-99.664787292480469
